Timestamp,Student Name,Rule,Result
2025-09-05 16:34:48,Aron Ogayon,Attendance Rule,Satisfied
2025-09-05 16:34:55,Aron Ogayon,Grading Rule,Satisfied
2025-09-05 16:35:14,Aron Ogayon,Login Rule,Satisfied
2025-09-05 16:35:22,Aron Ogayon,Bonus Rule,Satisfied
2025-09-05 16:35:34,Aron Ogayon,Graduation Rule,Satisfied
2025-09-05 16:37:10,John Doom,Attendance Rule,Satisfied
2025-09-05 16:37:28,John Doom,Grading Rule,Satisfied
2025-09-05 16:37:36,John Doom,Login Rule,Satisfied
2025-09-05 16:37:53,John Doom,Bonus Rule,Satisfied
2025-09-05 16:38:51,John Doom,Graduation Rule,Satisfied
2025-09-05 16:41:16,Jane Doe,Attendance Rule,Satisfied
2025-09-05 16:41:30,Jane Doe,Grading Rule,Satisfied
2025-09-05 16:41:40,Jane Doe,Login Rule,Satisfied
2025-09-05 16:41:57,Jane Doe,Bonus Rule,Satisfied
2025-09-05 16:42:15,Jane Doe,Graduation Rule,Satisfied
